               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017118,           0.0047253,          0.00059016,             0.99969,             0.91753,             0.98873,              0.6272,            0.028907,           0.0049877,          0.00058202,            0.006634,            0.006634,            0.006634
                  36,            0.018274,           0.0047525,          0.00061065,             0.96737,             0.91753,             0.97771,             0.62466,            0.030067,           0.0048075,          0.00066943,            0.006535,            0.006535,            0.006535
                  37,            0.017575,           0.0048794,          0.00065009,                   1,              0.8969,             0.97228,              0.6048,            0.029615,           0.0052017,           0.0006808,            0.006436,            0.006436,            0.006436
                  38,             0.01777,           0.0047568,          0.00057975,              0.9786,             0.95876,             0.98801,             0.64649,            0.028148,           0.0047192,          0.00062953,            0.006337,            0.006337,            0.006337
                  39,            0.016255,           0.0044897,          0.00057439,             0.97837,             0.93814,             0.98998,             0.65371,            0.029455,           0.0046319,          0.00058005,            0.006238,            0.006238,            0.006238
                  40,            0.016049,           0.0043676,          0.00054047,             0.98898,             0.92784,             0.98686,             0.63792,            0.028126,           0.0046317,          0.00056675,            0.006139,            0.006139,            0.006139
                  41,            0.016468,           0.0045624,          0.00053578,             0.98875,             0.90722,             0.97849,             0.66238,            0.028333,           0.0049184,          0.00063252,             0.00604,             0.00604,             0.00604
                  42,            0.015973,            0.004607,          0.00055774,             0.88181,                   1,             0.98253,             0.63429,             0.02752,           0.0049923,          0.00055334,            0.005941,            0.005941,            0.005941
                  43,            0.015089,           0.0045175,          0.00048411,             0.89813,                   1,              0.9811,             0.64206,            0.026893,           0.0049948,          0.00055271,            0.005842,            0.005842,            0.005842
                  44,            0.015625,           0.0044648,          0.00050874,             0.95875,             0.95876,             0.99021,             0.64954,            0.027513,           0.0046241,          0.00055144,            0.005743,            0.005743,            0.005743
                  45,            0.015656,           0.0043467,          0.00052557,                   1,             0.92778,             0.98749,             0.62367,            0.030532,           0.0048643,          0.00056643,            0.005644,            0.005644,            0.005644
                  46,            0.015451,           0.0043803,          0.00053318,                   1,             0.89669,             0.98075,             0.65093,            0.026154,           0.0052222,           0.0006034,            0.005545,            0.005545,            0.005545
                  47,            0.015393,           0.0042926,          0.00051104,             0.99999,              0.8866,             0.97245,             0.61225,            0.028964,           0.0055321,           0.0006349,            0.005446,            0.005446,            0.005446
                  48,             0.01571,           0.0043343,          0.00051705,                   1,             0.88659,             0.97377,             0.63482,            0.027203,           0.0056143,           0.0006436,            0.005347,            0.005347,            0.005347
                  49,            0.015502,           0.0043292,          0.00050657,             0.98913,             0.93813,             0.98511,              0.6449,            0.028003,           0.0047839,          0.00053002,            0.005248,            0.005248,            0.005248
                  50,            0.015424,           0.0041753,          0.00049343,                   1,             0.97936,             0.99348,             0.65974,            0.027121,           0.0043283,          0.00052095,            0.005149,            0.005149,            0.005149
                  51,            0.013875,           0.0041507,          0.00046441,                   1,              0.9585,             0.99252,             0.65738,            0.027194,            0.004891,          0.00050021,             0.00505,             0.00505,             0.00505
                  52,            0.013541,           0.0039631,          0.00044606,             0.98913,             0.93779,             0.98863,             0.61577,            0.029491,            0.005382,          0.00050295,            0.004951,            0.004951,            0.004951
                  53,            0.013979,           0.0040682,          0.00045287,             0.99988,             0.93814,             0.98024,             0.63761,            0.027459,           0.0053737,          0.00054299,            0.004852,            0.004852,            0.004852
                  54,            0.013495,           0.0040949,            0.000441,             0.99985,             0.90722,             0.98032,             0.62051,            0.029119,           0.0056948,          0.00052315,            0.004753,            0.004753,            0.004753
                  55,            0.013394,           0.0037952,            0.000436,                   1,             0.88655,             0.97129,             0.62536,            0.027334,           0.0054354,          0.00052211,            0.004654,            0.004654,            0.004654
                  56,            0.013615,           0.0039913,          0.00041442,             0.98899,             0.92784,             0.98801,              0.6592,            0.027369,           0.0052165,          0.00049549,            0.004555,            0.004555,            0.004555
                  57,            0.012786,            0.003955,          0.00039513,                   1,              0.9274,             0.98287,             0.62942,             0.02857,           0.0055632,          0.00046403,            0.004456,            0.004456,            0.004456
                  58,            0.012817,           0.0039641,          0.00038596,             0.95745,             0.92782,             0.97463,             0.63644,            0.027794,           0.0054542,          0.00048365,            0.004357,            0.004357,            0.004357
                  59,            0.012367,           0.0039316,           0.0003877,             0.99983,             0.92784,             0.97817,             0.66058,             0.02617,           0.0053906,          0.00044655,            0.004258,            0.004258,            0.004258
                  60,            0.012473,           0.0038908,          0.00037809,                   1,             0.89624,             0.98644,             0.65776,            0.025885,           0.0055022,          0.00044129,            0.004159,            0.004159,            0.004159
                  61,            0.012265,           0.0038853,           0.0003764,             0.99991,             0.90722,             0.98621,             0.66623,            0.026063,           0.0052125,          0.00042816,             0.00406,             0.00406,             0.00406
                  62,             0.01301,           0.0039938,          0.00038181,             0.99969,             0.91753,             0.98685,             0.67863,             0.02524,           0.0050064,          0.00044363,            0.003961,            0.003961,            0.003961
                  63,            0.011618,           0.0037448,          0.00038981,                   1,              0.9072,             0.98721,              0.6533,            0.026442,           0.0052052,          0.00042837,            0.003862,            0.003862,            0.003862
                  64,            0.012339,           0.0036904,          0.00036042,             0.98913,             0.93806,             0.98841,             0.64816,            0.027346,           0.0053489,          0.00043903,            0.003763,            0.003763,            0.003763
                  65,            0.011103,           0.0037474,          0.00035627,                   1,             0.88653,             0.97999,             0.63243,            0.027563,            0.005744,          0.00040919,            0.003664,            0.003664,            0.003664
                  66,            0.012012,            0.003855,          0.00033674,                   1,             0.89687,             0.96838,             0.63884,            0.026442,            0.005781,          0.00045241,            0.003565,            0.003565,            0.003565
                  67,            0.011485,            0.003695,          0.00034332,              0.9885,             0.88653,             0.97075,              0.6366,            0.027478,           0.0056622,          0.00046874,            0.003466,            0.003466,            0.003466
                  68,            0.010966,           0.0036746,          0.00033803,             0.99998,              0.8866,             0.97948,               0.646,            0.026452,            0.005435,          0.00042595,            0.003367,            0.003367,            0.003367
                  69,             0.01143,           0.0038224,          0.00033023,                   1,             0.93808,              0.9876,             0.65482,            0.026439,           0.0056346,          0.00044525,            0.003268,            0.003268,            0.003268
                  70,            0.010637,           0.0037809,          0.00033729,              0.9891,             0.93814,             0.98848,             0.67151,            0.026085,           0.0049782,          0.00037293,            0.003169,            0.003169,            0.003169
                  71,            0.010039,           0.0034144,          0.00029199,             0.98906,             0.93814,             0.98754,             0.64795,            0.026873,           0.0055203,          0.00037821,             0.00307,             0.00307,             0.00307
                  72,            0.010021,             0.00348,          0.00026573,             0.99996,             0.93814,             0.98774,             0.65849,            0.026639,           0.0053176,          0.00034848,            0.002971,            0.002971,            0.002971
                  73,            0.010372,           0.0035083,           0.0002759,             0.98901,             0.92783,             0.98273,             0.64591,            0.026727,           0.0057149,          0.00036136,            0.002872,            0.002872,            0.002872
                  74,           0.0098876,           0.0035257,          0.00027404,             0.98876,             0.90711,             0.98111,             0.65646,            0.026845,            0.005575,          0.00033382,            0.002773,            0.002773,            0.002773
                  75,           0.0095961,           0.0034103,          0.00026247,             0.98889,             0.91744,             0.98602,             0.65038,            0.026307,           0.0054995,          0.00033526,            0.002674,            0.002674,            0.002674
                  76,           0.0095067,           0.0033876,          0.00025458,             0.98888,             0.91753,             0.98646,             0.64639,            0.026666,           0.0058303,          0.00033949,            0.002575,            0.002575,            0.002575
                  77,           0.0094944,           0.0033178,           0.0002446,             0.98906,             0.93814,             0.98012,             0.63866,            0.027319,           0.0059893,          0.00038514,            0.002476,            0.002476,            0.002476
                  78,           0.0090098,           0.0032928,          0.00023849,             0.98901,              0.9278,             0.98121,             0.64894,            0.027479,           0.0058276,          0.00033939,            0.002377,            0.002377,            0.002377
                  79,           0.0091915,           0.0034042,          0.00023213,             0.98898,             0.93814,             0.97987,             0.65425,            0.027053,           0.0057743,          0.00033197,            0.002278,            0.002278,            0.002278
                  80,           0.0092539,           0.0033442,          0.00023848,               0.989,             0.92784,             0.98005,             0.65752,            0.027357,            0.006008,          0.00032405,            0.002179,            0.002179,            0.002179
                  81,           0.0088373,             0.00314,          0.00021341,             0.97826,             0.92772,             0.98084,             0.65741,            0.026836,           0.0058724,          0.00030279,             0.00208,             0.00208,             0.00208
                  82,           0.0084676,            0.003154,           0.0002082,             0.98876,             0.90722,             0.98111,             0.64933,            0.026919,           0.0063267,           0.0003057,            0.001981,            0.001981,            0.001981
                  83,           0.0086312,           0.0032113,          0.00019515,                   1,             0.89685,             0.98329,             0.64692,            0.026868,           0.0061977,          0.00029276,            0.001882,            0.001882,            0.001882
                  84,           0.0084663,           0.0032258,          0.00019007,             0.98885,             0.92784,             0.98789,             0.65264,            0.026778,           0.0059441,          0.00026073,            0.001783,            0.001783,            0.001783
                  85,           0.0081736,           0.0031328,          0.00019094,             0.98901,             0.92783,             0.98812,             0.64942,            0.026413,           0.0056882,          0.00023679,            0.001684,            0.001684,            0.001684
                  86,           0.0081095,            0.003186,          0.00018478,             0.98901,             0.92782,             0.98668,             0.64346,            0.026392,           0.0058377,          0.00024188,            0.001585,            0.001585,            0.001585
                  87,           0.0082469,           0.0031953,          0.00017418,              0.9889,             0.92784,             0.98802,             0.65318,            0.026615,            0.006056,          0.00024318,            0.001486,            0.001486,            0.001486
                  88,           0.0080936,            0.003151,          0.00017303,             0.98893,             0.92784,             0.98813,             0.66195,            0.026289,           0.0059783,          0.00024324,            0.001387,            0.001387,            0.001387
                  89,           0.0078606,           0.0033184,          0.00017451,             0.99978,             0.92784,             0.98949,             0.63754,            0.026326,           0.0057887,          0.00023452,            0.001288,            0.001288,            0.001288
                  90,           0.0077065,             0.00314,           0.0001626,             0.99993,             0.92784,             0.98771,             0.64298,            0.026495,           0.0059574,          0.00023991,            0.001189,            0.001189,            0.001189
                  91,           0.0076451,            0.003013,          0.00015632,             0.99977,             0.92784,             0.98289,             0.62862,            0.026386,            0.006196,          0.00025957,             0.00109,             0.00109,             0.00109
                  92,           0.0076254,            0.003094,          0.00015289,             0.99997,             0.92784,              0.9846,             0.63244,            0.026398,           0.0061527,          0.00025379,            0.000991,            0.000991,            0.000991
                  93,           0.0076024,           0.0031166,          0.00015214,                   1,             0.92767,             0.98562,             0.63768,            0.026363,           0.0060992,          0.00023937,            0.000892,            0.000892,            0.000892
                  94,           0.0076927,            0.002952,          0.00014656,             0.98901,             0.92777,             0.98702,             0.64412,             0.02604,            0.006182,          0.00022134,            0.000793,            0.000793,            0.000793
                  95,           0.0074912,           0.0030849,          0.00014379,             0.98901,              0.9278,             0.98452,              0.6465,            0.025885,           0.0063711,          0.00023769,            0.000694,            0.000694,            0.000694
                  96,           0.0075566,           0.0031153,          0.00014239,             0.98901,             0.92784,             0.98464,             0.65357,            0.025747,            0.006177,          0.00023332,            0.000595,            0.000595,            0.000595
                  97,           0.0074288,           0.0030304,          0.00014025,             0.98899,             0.92784,             0.98407,             0.64433,            0.025873,           0.0060694,          0.00023068,            0.000496,            0.000496,            0.000496
                  98,           0.0075185,           0.0029791,          0.00013776,             0.97829,             0.93814,             0.98505,             0.64669,            0.025798,           0.0060816,          0.00022454,            0.000397,            0.000397,            0.000397
                  99,           0.0074245,             0.00301,          0.00014012,             0.97849,             0.93802,             0.98607,             0.65609,             0.02582,            0.006015,          0.00022085,            0.000298,            0.000298,            0.000298
