               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10029,            0.044962,            0.038274,             0.11184,             0.12539,            0.053335,             0.01478,            0.075099,            0.025128,            0.029984,              0.0016,              0.0016,              0.0856
                   1,            0.070768,            0.040334,             0.02726,             0.54053,             0.38569,             0.39054,             0.13233,            0.071862,             0.02961,             0.01439,           0.0032347,           0.0032347,            0.070235
                   2,            0.068447,            0.027572,            0.015229,             0.36603,             0.53683,             0.35836,             0.13656,            0.074603,             0.01444,            0.012283,            0.004802,            0.004802,            0.054802
                   3,            0.065324,            0.022835,           0.0090251,             0.62447,             0.53175,             0.59245,             0.22815,             0.05948,            0.020738,            0.010591,            0.006302,            0.006302,            0.039302
                   4,            0.054899,            0.020671,           0.0061446,             0.51123,             0.71699,             0.65467,             0.36334,            0.053433,            0.013013,            0.010701,           0.0077347,           0.0077347,            0.023735
                   5,            0.049885,            0.019233,           0.0046674,             0.71565,             0.56937,              0.6597,             0.30806,            0.049568,            0.016919,           0.0087873,             0.00901,             0.00901,             0.00901
                   6,            0.044383,            0.018242,           0.0038845,             0.68559,             0.71046,             0.75429,             0.42203,            0.044565,            0.015777,           0.0057687,             0.00901,             0.00901,             0.00901
                   7,            0.038597,            0.017748,           0.0029591,             0.75348,             0.84899,             0.86589,             0.52767,            0.041142,            0.013647,             0.00274,            0.008812,            0.008812,            0.008812
                   8,            0.035138,            0.017732,            0.002634,             0.80964,             0.74525,             0.81629,              0.4575,            0.040738,            0.016092,            0.014582,            0.008614,            0.008614,            0.008614
                   9,            0.032548,            0.016344,           0.0023632,             0.94052,             0.90981,             0.93104,             0.57556,            0.035957,            0.013782,           0.0022128,            0.008416,            0.008416,            0.008416
                  10,            0.032927,            0.016056,           0.0019783,              0.9411,             0.86234,             0.90198,             0.51511,            0.037375,            0.014922,            0.010236,            0.008218,            0.008218,            0.008218
                  11,            0.029739,            0.015259,           0.0019216,             0.91787,             0.89489,             0.91219,             0.59449,            0.033881,            0.013528,           0.0051414,             0.00802,             0.00802,             0.00802
                  12,            0.027871,            0.014959,           0.0016597,             0.89763,             0.83188,             0.89583,             0.52302,            0.041878,            0.015764,           0.0064502,            0.007822,            0.007822,            0.007822
                  13,            0.029237,            0.015333,           0.0017187,             0.91484,             0.88937,             0.92216,             0.60243,            0.032543,            0.014362,           0.0050997,            0.007624,            0.007624,            0.007624
                  14,            0.027404,            0.014605,           0.0013757,             0.90056,             0.86675,             0.89131,             0.54651,            0.039423,            0.013765,           0.0024519,            0.007426,            0.007426,            0.007426
                  15,            0.026308,            0.014364,           0.0014681,             0.91021,             0.90892,             0.91503,             0.57572,            0.035574,            0.013694,            0.001667,            0.007228,            0.007228,            0.007228
                  16,            0.025524,            0.013565,           0.0012375,             0.92462,             0.90447,             0.92477,             0.59697,            0.032067,            0.014776,           0.0013999,             0.00703,             0.00703,             0.00703
                  17,            0.023062,            0.013244,           0.0012119,             0.92459,             0.92661,             0.93911,             0.64686,            0.032884,            0.015162,           0.0015643,            0.006832,            0.006832,            0.006832
                  18,            0.023143,            0.012545,           0.0011011,               0.958,             0.88665,             0.92444,             0.58825,            0.032676,            0.014345,           0.0016195,            0.006634,            0.006634,            0.006634
                  19,            0.023208,            0.012847,            0.001153,             0.93433,             0.89052,             0.91982,             0.60692,            0.032453,            0.014436,           0.0016073,            0.006436,            0.006436,            0.006436
                  20,            0.021774,            0.012652,           0.0011115,             0.92691,             0.89663,             0.91021,             0.57846,            0.031593,            0.015379,           0.0018707,            0.006238,            0.006238,            0.006238
                  21,            0.022378,            0.012512,           0.0011091,             0.93218,             0.89601,             0.92021,             0.59466,            0.031213,            0.015203,           0.0026135,             0.00604,             0.00604,             0.00604
                  22,            0.021251,            0.012387,           0.0011132,             0.93771,             0.89009,             0.91806,             0.61249,            0.031594,            0.013558,           0.0017679,            0.005842,            0.005842,            0.005842
                  23,            0.019787,            0.012198,           0.0010168,             0.93731,             0.86179,             0.90567,             0.60454,            0.031812,            0.015144,           0.0021775,            0.005644,            0.005644,            0.005644
                  24,            0.019329,            0.011625,          0.00094284,             0.94176,             0.89632,             0.91878,             0.61977,            0.030918,            0.014527,            0.001408,            0.005446,            0.005446,            0.005446
                  25,            0.019146,            0.011731,          0.00096125,             0.94231,             0.89645,             0.91583,             0.59708,            0.032259,            0.016803,           0.0015497,            0.005248,            0.005248,            0.005248
                  26,            0.019547,            0.011714,          0.00087285,             0.95022,             0.87998,             0.92229,             0.60395,            0.030805,            0.014511,           0.0014683,             0.00505,             0.00505,             0.00505
                  27,            0.019393,            0.011538,          0.00086056,             0.94157,             0.88845,             0.93204,             0.61485,            0.030904,            0.016405,           0.0021994,            0.004852,            0.004852,            0.004852
                  28,            0.017876,            0.011283,          0.00084871,             0.95361,             0.89762,             0.92089,              0.6176,            0.030305,            0.015923,           0.0013447,            0.004654,            0.004654,            0.004654
                  29,            0.017596,            0.011333,          0.00078414,             0.95295,             0.90473,             0.93161,             0.63393,            0.031168,            0.014972,           0.0017137,            0.004456,            0.004456,            0.004456
                  30,            0.016561,            0.010658,          0.00094119,             0.94817,             0.88108,             0.91947,             0.63358,            0.030434,            0.015919,           0.0013875,            0.004258,            0.004258,            0.004258
                  31,            0.016604,            0.010319,          0.00080944,             0.91972,             0.89054,             0.91764,             0.62367,            0.030306,            0.015402,           0.0013322,             0.00406,             0.00406,             0.00406
                  32,            0.016196,            0.010545,          0.00068274,             0.92584,             0.90412,             0.91932,             0.60643,            0.031621,            0.016307,            0.001363,            0.003862,            0.003862,            0.003862
                  33,            0.015329,            0.010192,          0.00076908,             0.94017,             0.89655,             0.91412,             0.62265,            0.029983,            0.015698,           0.0010556,            0.003664,            0.003664,            0.003664
                  34,            0.015454,            0.010488,          0.00062345,              0.9473,             0.89054,             0.91842,              0.6121,            0.030654,            0.016567,          0.00095579,            0.003466,            0.003466,            0.003466
                  35,             0.01458,           0.0099698,          0.00072137,             0.94703,             0.90165,             0.92419,             0.61438,             0.03164,            0.017209,          0.00093855,            0.003268,            0.003268,            0.003268
                  36,            0.014211,           0.0096097,          0.00053187,             0.92926,             0.89867,             0.92283,             0.62985,            0.029673,            0.016084,           0.0010132,             0.00307,             0.00307,             0.00307
                  37,            0.013276,           0.0094422,          0.00060353,             0.93412,             0.89642,             0.92409,             0.62805,            0.029486,            0.015885,          0.00099288,            0.002872,            0.002872,            0.002872
                  38,            0.013541,            0.009359,          0.00054742,             0.94084,             0.89586,              0.9212,             0.63474,            0.029516,            0.015112,          0.00089555,            0.002674,            0.002674,            0.002674
                  39,            0.012976,           0.0093762,          0.00050045,             0.95193,             0.90002,              0.9292,             0.63187,            0.029805,            0.015579,           0.0008311,            0.002476,            0.002476,            0.002476
                  40,            0.012513,           0.0090989,          0.00048902,             0.94977,             0.89457,               0.924,             0.63744,            0.029948,            0.016629,          0.00082847,            0.002278,            0.002278,            0.002278
                  41,            0.012104,           0.0088564,          0.00046927,              0.9438,             0.89385,             0.92059,             0.64088,            0.029748,            0.016591,          0.00090446,             0.00208,             0.00208,             0.00208
                  42,            0.011806,           0.0090522,          0.00041209,             0.95397,             0.89362,             0.92643,             0.63292,            0.030387,            0.016454,          0.00087105,            0.001882,            0.001882,            0.001882
                  43,            0.011663,           0.0086727,          0.00042133,             0.94075,             0.89974,             0.92124,             0.63171,            0.029917,            0.016719,          0.00087964,            0.001684,            0.001684,            0.001684
                  44,            0.011322,           0.0084119,          0.00033734,             0.95023,             0.89292,             0.92404,              0.6294,            0.029833,            0.016419,          0.00099728,            0.001486,            0.001486,            0.001486
