               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11696,            0.040473,            0.043583,            0.021342,            0.056313,           0.0094403,           0.0023596,            0.096926,            0.022285,            0.033529,              0.0008,              0.0008,              0.0928
                   1,            0.087471,            0.041491,            0.032849,             0.42944,             0.17449,            0.065299,            0.013393,            0.074859,            0.025082,            0.025238,           0.0016832,           0.0016832,            0.084683
                   2,            0.084653,            0.035461,            0.027171,             0.79118,             0.16483,             0.15949,            0.048802,            0.082258,            0.068434,            0.021918,           0.0025485,           0.0025485,            0.076549
                   3,             0.07891,            0.030594,            0.019269,             0.23295,              0.4144,             0.23746,            0.088481,            0.092517,            0.062136,            0.015414,            0.003396,            0.003396,            0.068396
                   4,            0.076023,            0.027986,            0.013391,             0.58511,             0.40017,             0.41438,             0.15488,            0.077623,             0.03972,           0.0093271,           0.0042258,           0.0042258,            0.060226
                   5,            0.071127,            0.026362,            0.010144,             0.27897,             0.63525,             0.33865,            0.094579,            0.069112,            0.054003,           0.0029422,           0.0050376,           0.0050376,            0.052038
                   6,            0.067974,            0.023892,           0.0081397,             0.52662,             0.43065,              0.5108,              0.1444,            0.075176,             0.04332,           0.0039598,           0.0058317,           0.0058317,            0.043832
                   7,            0.062751,            0.022157,           0.0064088,              0.4442,             0.72852,             0.64526,             0.26125,             0.04952,            0.025367,           0.0030166,            0.006608,            0.006608,            0.035608
                   8,            0.058364,            0.022773,           0.0060151,             0.65757,             0.60496,             0.61611,             0.25948,            0.063424,            0.018529,             0.00276,           0.0073664,           0.0073664,            0.027366
                   9,            0.060529,            0.020989,           0.0055913,             0.40242,             0.43044,             0.39376,             0.19024,            0.060781,            0.022823,           0.0091851,            0.008107,            0.008107,            0.019107
                  10,            0.057705,            0.021184,           0.0046203,             0.46502,             0.47995,             0.43834,             0.18173,            0.053424,            0.029755,            0.013385,           0.0088298,           0.0088298,             0.01083
                  11,            0.050961,            0.021111,           0.0041862,              0.4729,             0.57945,             0.49084,             0.19523,            0.060076,            0.052334,            0.014475,            0.008911,            0.008911,            0.008911
                  12,            0.048528,            0.020208,           0.0038381,             0.57139,             0.57505,             0.54546,             0.20094,            0.050317,            0.067404,           0.0086536,            0.008911,            0.008911,            0.008911
                  13,            0.046743,            0.019574,           0.0031681,              0.5779,             0.70788,             0.60615,             0.27369,            0.058387,            0.034442,            0.006151,            0.008812,            0.008812,            0.008812
                  14,            0.042147,            0.018658,           0.0027311,             0.78393,             0.69412,             0.74256,             0.38017,            0.046691,            0.033962,            0.011379,            0.008713,            0.008713,            0.008713
                  15,            0.041227,            0.019696,           0.0025845,             0.72304,             0.67412,             0.70092,             0.33263,            0.048164,            0.032134,           0.0050531,            0.008614,            0.008614,            0.008614
                  16,            0.039996,            0.018436,           0.0021845,              0.6873,             0.67386,             0.71687,             0.27296,            0.055494,            0.020842,           0.0055752,            0.008515,            0.008515,            0.008515
                  17,            0.037521,            0.017439,           0.0023499,             0.81451,             0.71126,             0.77163,             0.39651,            0.047787,            0.019146,            0.018017,            0.008416,            0.008416,            0.008416
                  18,            0.036006,            0.017015,           0.0023888,             0.81908,             0.70626,             0.78125,             0.36247,            0.047513,            0.018402,            0.014842,            0.008317,            0.008317,            0.008317
                  19,            0.036306,            0.017159,           0.0019812,             0.76203,             0.83313,             0.83811,             0.43177,            0.038965,            0.015058,            0.011462,            0.008218,            0.008218,            0.008218
                  20,            0.035575,            0.016922,           0.0019307,             0.83323,             0.79819,             0.84964,             0.39873,            0.051759,            0.013334,           0.0042084,            0.008119,            0.008119,            0.008119
                  21,             0.03329,            0.016306,           0.0018054,             0.86219,             0.85721,              0.8811,             0.50837,            0.037907,            0.013016,           0.0049687,             0.00802,             0.00802,             0.00802
                  22,            0.031873,            0.016142,           0.0019095,             0.87761,             0.84625,             0.90532,             0.50924,               0.039,            0.011931,           0.0085734,            0.007921,            0.007921,            0.007921
                  23,            0.033447,            0.016319,           0.0017256,             0.90264,             0.89628,             0.91991,             0.55324,            0.036542,            0.011835,            0.006124,            0.007822,            0.007822,            0.007822
                  24,             0.03291,            0.015703,            0.001645,             0.89276,             0.88171,              0.9128,             0.53729,            0.038739,            0.012126,           0.0069189,            0.007723,            0.007723,            0.007723
                  25,            0.030881,            0.015892,           0.0017066,             0.88502,             0.82028,             0.89137,             0.46269,            0.040357,            0.013197,           0.0079551,            0.007624,            0.007624,            0.007624
                  26,            0.030038,            0.015159,           0.0014633,             0.81469,             0.85519,             0.88255,             0.51657,            0.038142,            0.012597,           0.0092747,            0.007525,            0.007525,            0.007525
                  27,            0.031396,            0.015093,           0.0015543,             0.86829,             0.78905,             0.86965,             0.50133,            0.040876,            0.015157,           0.0038064,            0.007426,            0.007426,            0.007426
                  28,            0.030145,            0.015982,           0.0012573,              0.8711,             0.87213,             0.89888,             0.56129,            0.036218,            0.012133,            0.006528,            0.007327,            0.007327,            0.007327
